status_id,status_text,status_datetime,username
1450680677586845696,"ข่าวบิดเบือน จีนไม่ออกพาสปอร์ตและห้ามคนจีนเที่ยวต่างประเทศอย่างต่ำ 2 ปี รัฐบาลและผู้ประกอบการเตรียมรับมือด่วน

",2021-10-20 04:30:00+00:00,AFNCThailand
1450340938010611713,"ข่าวบิดเบือน สั่งปิดเขาค้อ-ภูทับเบิก 14 วัน หลังพบคลัสเตอร์โควิดขนาดใหญ่

",2021-10-19 06:00:00+00:00,AFNCThailand
1450295648650244096,"ข่าวปลอม อย่าแชร์  ผลิตภัณฑ์ ยาห้าราก ตราพิมพา ช่วยลดการขยายตัวของเชื้อไวรัส บำรุงร่างกายให้มีภูมิคุ้มกันสู้กับเชื้อโควิด19

",2021-10-19 03:00:02+00:00,AFNCThailand
1449631262604292106,"ข่าวปลอม อย่าแชร์  ผลิตภัณฑ์ตรีผลา ตราพิมพา สามารถยับยั้งการสร้างและการแบ่งตัวของเชื้อโควิด19

",2021-10-17 07:00:00+00:00,AFNCThailand
1449563503421845507,"การ์ดอย่าตก 5 สิ่งที่ควรทำ “สูงวัย ห่างไกลโควิด-19” 

",2021-10-17 02:30:45+00:00,AFNCThailand
1448528999328612356,"ข่าวปลอม อย่าแชร์  งดเดินทางไป 10 จังหวัด เพราะเป็นแหล่งติดต่อเชื้อโควิด19

",2021-10-14 06:00:00+00:00,AFNCThailand
1448211909396742147,"ข่าวปลอม อย่าแชร์  วัคซีนป้องกันโรคโควิด-19 มีสารกัมมันตภาพรังสีและนาโน พาทิเคิลที่เป็นอันตรายต่อชีวิตมนุษย์

",2021-10-13 09:00:00+00:00,AFNCThailand
1448166611563728900,"ข่าวปลอม อย่าแชร์  ผลิตภัณฑ์กระชายขาว ตรา BioProud กินแล้วเชื้อโควิด-19 ไม่ลงปอด

",2021-10-13 06:00:00+00:00,AFNCThailand
1448108216370360330,"หน้ากากอนามัยใช้แล้ว = ขยะติดเชื้อ 
ทิ้งอย่างไรให้ถูกต้องและไม่แพร่เชื่อ

",2021-10-13 02:07:57+00:00,AFNCThailand
1447094554382016517,"ข่าวปลอม อย่าแชร์  หน้ากากทำจากทองแดง ฆ่าเชื้อโควิดได้ 100% ใน 30 นาที 

",2021-10-10 07:00:02+00:00,AFNCThailand
1446795281324863494,"ข่าวปลอม อย่าแชร์  สเปรย์กระชายขาว ‘OK FRESH MOUTH SPRAY’ ยับยั้งเชื้อก่อนลงปอด

",2021-10-09 11:10:49+00:00,AFNCThailand
